Distance_(inches),Gray_Value
0.00000,9.000
0.01042,9.000
0.02083,9.000
0.03125,9.000
0.04167,9.000
0.05208,9.000
0.06250,9.000
0.07292,9.000
0.08333,9.000
0.09375,9.000
0.10417,9.000
0.11458,9.000
0.12500,9.000
0.13542,9.000
0.14583,9.000
0.15625,9.000
0.16667,9.000
0.17708,9.000
0.18750,9.000
0.19792,9.000
0.20833,9.000
0.21875,9.000
0.22917,9.000
0.23958,9.000
0.25000,9.000
0.26042,9.000
0.27083,9.000
0.28125,9.000
0.29167,9.000
0.30208,9.000
0.31250,9.000
0.32292,9.000
0.33333,9.000
0.34375,9.000
0.35417,9.000
0.36458,9.000
0.37500,9.000
0.38542,9.000
0.39583,9.000
0.40625,9.000
0.41667,9.000
0.42708,9.000
0.43750,9.000
0.44792,9.000
0.45833,9.000
0.46875,9.000
0.47917,9.000
0.48958,9.000
0.50000,9.000
0.51042,9.000
0.52083,9.000
0.53125,9.000
0.54167,9.000
0.55208,9.000
0.56250,9.000
0.57292,9.000
0.58333,9.000
0.59375,9.000
0.60417,9.000
0.61458,9.000
0.62500,9.000
0.63542,9.000
0.64583,9.000
0.65625,9.000
0.66667,9.000
0.67708,9.000
0.68750,9.000
0.69792,9.000
0.70833,9.000
0.71875,9.000
0.72917,9.000
0.73958,9.000
0.75000,9.000
0.76042,9.000
0.77083,9.000
0.78125,9.000
0.79167,9.000
0.80208,9.000
0.81250,9.000
0.82292,9.000
0.83333,9.000
0.84375,9.000
0.85417,9.000
0.86458,9.000
0.87500,9.000
0.88542,9.000
0.89583,9.000
0.90625,9.000
0.91667,9.000
0.92708,9.000
0.93750,9.000
0.94792,9.000
0.95833,9.000
0.96875,9.000
0.97917,9.000
0.98958,9.000
1.00000,9.000
1.01042,9.000
1.02083,9.000
1.03125,9.000
1.04167,10.667
1.05208,10.667
1.06250,10.667
1.07292,10.667
1.08333,10.667
1.09375,10.667
1.10417,10.667
1.11458,10.667
1.12500,10.667
1.13542,11.667
1.14583,11.667
1.15625,11.667
1.16667,11.667
1.17708,13.667
1.18750,13.667
1.19792,13.667
1.20833,13.667
1.21875,13.667
1.22917,14.000
1.23958,14.000
1.25000,14.000
1.26042,14.000
1.27083,14.000
1.28125,14.000
1.29167,14.000
1.30208,14.000
1.31250,15.667
1.32292,15.667
1.33333,15.667
1.34375,15.667
1.35417,15.667
1.36458,15.667
1.37500,15.667
1.38542,15.667
1.39583,15.667
1.40625,19.000
1.41667,19.000
1.42708,19.000
1.43750,19.000
1.44792,20.000
1.45833,20.000
1.46875,20.000
1.47917,20.000
1.48958,20.000
1.50000,17.667
1.51042,17.667
1.52083,17.667
1.53125,17.667
1.54167,18.667
1.55208,18.667
1.56250,18.667
1.57292,18.667
1.58333,17.667
1.59375,17.667
1.60417,17.667
1.61458,17.667
1.62500,17.667
1.63542,17.667
1.64583,17.667
1.65625,17.667
1.66667,17.667
1.67708,16.333
1.68750,16.333
1.69792,16.333
1.70833,16.333
1.71875,16.333
1.72917,16.333
1.73958,16.333
1.75000,16.333
1.76042,16.333
1.77083,22.333
1.78125,24.333
1.79167,30.333
1.80208,32.333
1.81250,54.333
1.82292,56.333
1.83333,59.333
1.84375,37.333
1.85417,26.000
1.86458,26.000
1.87500,26.000
1.88542,27.667
1.89583,27.667
1.90625,16.667
1.91667,16.667
1.92708,18.667
1.93750,18.667
1.94792,20.333
1.95833,20.333
1.96875,20.333
1.97917,20.333
1.98958,21.333
2.00000,21.333
2.01042,21.333
2.02083,21.333
2.03125,21.333
2.04167,21.000
2.05208,21.000
2.06250,21.000
2.07292,21.000
2.08333,21.000
2.09375,21.000
2.10417,21.000
2.11458,21.000
2.12500,19.000
2.13542,19.000
2.14583,19.000
2.15625,19.000
2.16667,19.000
2.17708,21.000
2.18750,21.000
2.19792,21.000
2.20833,21.000
2.21875,18.000
2.22917,18.000
2.23958,18.000
2.25000,18.000
2.26042,21.000
2.27083,21.000
2.28125,21.000
2.29167,21.000
2.30208,21.000
2.31250,18.667
2.32292,18.667
2.33333,18.667
2.34375,18.667
2.35417,18.667
2.36458,18.667
2.37500,18.667
2.38542,18.667
2.39583,16.667
2.40625,16.667
2.41667,16.667
2.42708,16.667
2.43750,16.667
2.44792,16.667
2.45833,16.667
2.46875,16.667
2.47917,16.667
2.48958,15.000
2.50000,15.000
2.51042,15.000
2.52083,15.000
2.53125,15.000
2.54167,15.000
2.55208,15.000
2.56250,15.000
2.57292,15.000
2.58333,17.000
2.59375,20.000
2.60417,20.000
2.61458,35.000
2.62500,144.333
2.63542,218.333
2.64583,121.000
2.65625,54.333
2.66667,57.667
2.67708,54.667
2.68750,54.667
2.69792,20.667
2.70833,17.667
2.71875,15.667
2.72917,17.667
2.73958,19.667
2.75000,21.667
2.76042,13.000
2.77083,13.000
2.78125,13.000
2.79167,13.000
2.80208,13.000
2.81250,13.000
2.82292,13.000
2.83333,13.000
2.84375,13.000
2.85417,16.333
2.86458,16.333
2.87500,16.333
2.88542,16.333
2.89583,12.333
2.90625,12.333
2.91667,12.333
2.92708,12.333
2.93750,12.333
2.94792,12.333
2.95833,12.333
2.96875,12.333
2.97917,12.333
2.98958,12.333
3.00000,12.333
3.01042,12.333
3.02083,12.333
3.03125,11.333
3.04167,11.333
3.05208,11.333
3.06250,11.333
3.07292,11.333
3.08333,11.333
3.09375,11.333
3.10417,11.333
3.11458,11.333
3.12500,11.333
3.13542,11.333
3.14583,11.333
3.15625,11.333
3.16667,11.333
3.17708,11.333
3.18750,11.333
3.19792,11.333
3.20833,11.333
3.21875,11.333
3.22917,11.333
3.23958,11.333
3.25000,11.333
3.26042,11.333
3.27083,11.333
3.28125,11.333
3.29167,11.333
3.30208,10.333
3.31250,10.333
3.32292,10.333
3.33333,10.333
3.34375,10.333
3.35417,10.333
3.36458,10.333
3.37500,10.333
3.38542,10.333
3.39583,11.000
3.40625,11.000
3.41667,11.000
3.42708,11.000
3.43750,11.000
3.44792,11.000
3.45833,11.000
3.46875,11.000
3.47917,12.000
3.48958,12.000
3.50000,12.000
3.51042,12.000
3.52083,12.000
3.53125,12.000
3.54167,12.000
3.55208,12.000
3.56250,12.000
3.57292,12.000
3.58333,12.000
3.59375,12.000
3.60417,12.000
3.61458,12.000
3.62500,12.000
3.63542,12.000
3.64583,12.000
3.65625,12.000
3.66667,12.333
3.67708,12.333
3.68750,12.333
3.69792,12.333
3.70833,12.333
3.71875,12.333
3.72917,12.333
3.73958,12.333
3.75000,10.333
3.76042,10.333
3.77083,10.333
3.78125,10.333
3.79167,10.333
3.80208,10.333
3.81250,10.333
3.82292,10.333
3.83333,10.333
3.84375,12.000
3.85417,12.000
3.86458,12.000
3.87500,12.000
3.88542,12.000
3.89583,12.000
3.90625,12.000
3.91667,12.000
3.92708,12.000
3.93750,12.333
3.94792,12.333
3.95833,12.333
3.96875,12.333
3.97917,13.333
3.98958,13.333
4.00000,13.333
4.01042,13.333
4.02083,13.333
4.03125,13.333
4.04167,13.333
4.05208,13.333
4.06250,13.333
4.07292,14.333
4.08333,14.333
4.09375,14.333
4.10417,14.333
4.11458,15.333
4.12500,15.333
4.13542,15.333
4.14583,15.333
