Distance_(inches),Gray_Value
0.00000,120.062
0.01042,9.000
0.02083,9.000
0.03125,9.000
0.04167,9.000
0.05208,9.000
0.06250,9.000
0.07292,9.000
0.08333,9.000
0.09375,9.000
0.10417,9.000
0.11458,9.000
0.12500,9.000
0.13542,9.000
0.14583,9.000
0.15625,9.000
0.16667,9.000
0.17708,9.000
0.18750,9.000
0.19792,9.000
0.20833,9.000
0.21875,9.000
0.22917,9.000
0.23958,9.000
0.25000,9.000
0.26042,9.000
0.27083,9.000
0.28125,9.000
0.29167,9.000
0.30208,9.000
0.31250,9.000
0.32292,9.000
0.33333,9.000
0.34375,9.000
0.35417,9.000
0.36458,9.000
0.37500,9.000
0.38542,9.000
0.39583,9.000
0.40625,9.000
0.41667,9.000
0.42708,9.000
0.43750,9.000
0.44792,9.000
0.45833,9.000
0.46875,9.000
0.47917,9.000
0.48958,9.000
0.50000,9.000
0.51042,9.000
0.52083,9.000
0.53125,9.000
0.54167,9.000
0.55208,9.000
0.56250,9.000
0.57292,9.000
0.58333,9.000
0.59375,9.000
0.60417,9.000
0.61458,9.000
0.62500,9.000
0.63542,9.000
0.64583,9.000
0.65625,9.000
0.66667,9.000
0.67708,9.000
0.68750,9.000
0.69792,9.000
0.70833,9.000
0.71875,9.000
0.72917,9.000
0.73958,9.000
0.75000,9.000
0.76042,9.000
0.77083,9.000
0.78125,9.000
0.79167,9.000
0.80208,9.000
0.81250,9.000
0.82292,9.000
0.83333,9.000
0.84375,9.000
0.85417,9.000
0.86458,9.000
0.87500,9.000
0.88542,9.000
0.89583,9.000
0.90625,9.000
0.91667,9.000
0.92708,9.000
0.93750,9.000
0.94792,9.590
0.95833,10.000
0.96875,10.000
0.97917,10.000
0.98958,10.000
1.00000,12.177
1.01042,13.667
1.02083,14.262
1.03125,14.667
1.04167,15.462
1.05208,16.000
1.06250,16.598
1.07292,17.000
1.08333,20.596
1.09375,24.200
1.10417,25.000
1.11458,27.205
1.12500,29.871
1.13542,31.671
1.14583,32.333
1.15625,32.937
1.16667,33.333
1.17708,38.984
1.18750,41.454
1.19792,38.239
1.20833,35.452
1.21875,31.017
1.22917,24.404
1.23958,21.667
1.25000,15.971
1.26042,14.166
1.27083,14.518
1.28125,14.000
1.29167,14.000
1.30208,14.000
1.31250,14.000
1.32292,14.000
1.33333,14.000
1.34375,14.000
1.35417,14.411
1.36458,14.667
1.37500,14.667
1.38542,14.667
1.39583,14.667
1.40625,14.667
1.41667,14.667
1.42708,14.667
1.43750,14.667
1.44792,12.174
1.45833,10.667
1.46875,10.667
1.47917,10.667
1.48958,11.919
1.50000,12.667
1.51042,12.667
1.52083,12.667
1.53125,12.667
1.54167,13.926
1.55208,14.667
1.56250,14.036
1.57292,13.667
1.58333,11.559
1.59375,10.333
1.60417,9.489
1.61458,9.000
1.62500,9.423
1.63542,9.667
1.64583,9.667
1.65625,9.667
1.66667,9.667
1.67708,9.667
1.68750,9.667
1.69792,9.667
1.70833,9.667
1.71875,10.094
1.72917,10.333
1.73958,10.333
1.75000,10.333
1.76042,10.333
1.77083,10.333
1.78125,10.333
1.79167,10.333
1.80208,10.333
1.81250,10.981
1.82292,11.333
1.83333,11.333
1.84375,11.333
1.85417,11.333
1.86458,11.333
1.87500,11.333
1.88542,11.333
1.89583,12.856
1.90625,13.667
1.91667,13.667
1.92708,12.575
1.93750,12.000
1.94792,15.281
1.95833,17.000
1.96875,16.123
1.97917,15.667
1.98958,14.349
2.00000,14.986
2.01042,22.709
2.02083,27.655
2.03125,31.421
2.04167,47.571
2.05208,55.000
2.06250,95.042
2.07292,143.901
2.08333,125.302
2.09375,81.371
2.10417,53.005
2.11458,48.113
2.12500,46.440
2.13542,43.886
2.14583,19.913
2.15625,6.994
2.16667,8.121
2.17708,9.000
2.18750,9.000
2.19792,9.000
2.20833,9.000
2.21875,9.000
2.22917,9.000
2.23958,9.000
2.25000,9.000
2.26042,9.902
2.27083,10.333
2.28125,10.333
2.29167,10.333
2.30208,10.333
2.31250,10.333
2.32292,10.333
2.33333,10.333
2.34375,10.333
2.35417,10.333
2.36458,10.333
2.37500,9.877
2.38542,9.667
2.39583,9.210
2.40625,10.373
2.41667,21.763
2.42708,34.689
2.43750,79.175
2.44792,75.618
2.45833,65.667
2.46875,49.327
2.47917,37.623
2.48958,32.669
2.50000,31.333
2.51042,18.626
2.52083,13.000
2.53125,10.453
2.54167,9.333
2.55208,9.333
2.56250,9.333
2.57292,9.333
2.58333,9.333
2.59375,9.333
2.60417,9.333
2.61458,9.333
2.62500,9.100
2.63542,9.000
2.64583,9.000
2.65625,9.000
2.66667,9.000
2.67708,9.000
2.68750,9.000
2.69792,9.000
2.70833,11.118
2.71875,12.000
2.72917,12.000
2.73958,12.000
2.75000,12.000
2.76042,33.997
2.77083,106.213
2.78125,85.788
2.79167,33.316
2.80208,22.041
2.81250,21.099
2.82292,15.813
2.83333,11.143
2.84375,10.953
2.85417,11.333
2.86458,11.333
2.87500,11.094
2.88542,11.000
2.89583,30.399
2.90625,91.458
2.91667,182.399
2.92708,162.592
2.93750,64.758
2.94792,29.187
2.95833,49.493
2.96875,63.545
2.97917,24.159
2.98958,8.333
3.00000,8.333
3.01042,8.333
3.02083,8.333
3.03125,8.818
3.04167,9.000
3.05208,9.729
3.06250,10.000
3.07292,9.270
3.08333,9.000
3.09375,9.000
3.10417,9.000
3.11458,9.000
3.12500,9.000
3.13542,9.000
3.14583,9.000
3.15625,9.000
3.16667,9.000
3.17708,9.000
3.18750,9.000
3.19792,9.000
3.20833,9.000
3.21875,9.000
3.22917,9.000
3.23958,9.000
3.25000,9.000
3.26042,9.000
3.27083,9.000
3.28125,9.000
3.29167,9.000
3.30208,9.000
3.31250,9.000
3.32292,9.000
3.33333,9.000
3.34375,9.000
3.35417,9.000
3.36458,9.000
3.37500,9.000
3.38542,9.000
3.39583,9.000
3.40625,9.000
3.41667,9.000
3.42708,9.000
3.43750,9.000
3.44792,9.000
3.45833,9.000
3.46875,9.000
3.47917,9.000
3.48958,9.000
3.50000,9.000
3.51042,9.000
3.52083,9.000
3.53125,9.000
3.54167,9.000
3.55208,9.000
3.56250,9.000
3.57292,9.000
3.58333,9.000
3.59375,9.000
3.60417,9.000
3.61458,9.000
3.62500,9.000
3.63542,9.000
3.64583,9.000
3.65625,9.000
3.66667,9.000
3.67708,9.000
3.68750,9.000
3.69792,9.000
3.70833,9.000
