Distance_(inches),Gray_Value
0.00000,18.0000
0.01042,18.0000
0.02083,18.0000
0.03125,18.0000
0.04167,26.0000
0.05208,35.0000
0.06250,32.0000
0.07292,18.0000
0.08333,18.0000
0.09375,18.0000
0.10417,18.0000
0.11458,18.0000
0.12500,18.0000
0.13542,20.6667
0.14583,20.6667
0.15625,20.6667
0.16667,20.6667
0.17708,17.6667
0.18750,17.6667
0.19792,17.6667
0.20833,17.6667
0.21875,14.6667
0.22917,17.6667
0.23958,24.6667
0.25000,24.6667
0.26042,35.6667
0.27083,40.6667
0.28125,34.6667
0.29167,25.6667
0.30208,18.6667
0.31250,18.6667
0.32292,18.6667
0.33333,18.6667
0.34375,18.6667
0.35417,18.6667
0.36458,18.6667
0.37500,18.6667
0.38542,18.6667
0.39583,18.6667
0.40625,17.6667
0.41667,17.6667
0.42708,17.6667
0.43750,17.6667
0.44792,16.6667
0.45833,26.6667
0.46875,32.6667
0.47917,31.6667
0.48958,19.0000
0.50000,19.0000
0.51042,19.0000
0.52083,19.0000
0.53125,19.0000
0.54167,17.0000
0.55208,17.0000
0.56250,17.0000
0.57292,17.0000
0.58333,18.0000
0.59375,18.0000
0.60417,18.0000
0.61458,18.0000
0.62500,18.0000
0.63542,20.0000
0.64583,23.0000
0.65625,23.0000
0.66667,25.0000
0.67708,18.6667
0.68750,18.6667
0.69792,18.6667
0.70833,18.6667
0.71875,18.6667
0.72917,18.6667
0.73958,18.6667
0.75000,18.6667
0.76042,18.0000
0.77083,18.0000
0.78125,18.0000
0.79167,18.0000
0.80208,18.0000
0.81250,18.0000
0.82292,18.0000
0.83333,18.0000
0.84375,18.0000
0.85417,21.0000
0.86458,21.0000
0.87500,20.0000
0.88542,20.0000
0.89583,18.0000
0.90625,18.0000
0.91667,18.0000
0.92708,18.0000
0.93750,18.0000
0.94792,19.6667
0.95833,19.6667
0.96875,21.6667
0.97917,33.6667
0.98958,54.6667
1.00000,53.6667
1.01042,32.6667
1.02083,22.6667
1.03125,19.0000
1.04167,19.0000
1.05208,18.6667
1.06250,18.6667
1.07292,18.6667
1.08333,18.0000
1.09375,18.0000
1.10417,19.6667
1.11458,19.6667
1.12500,18.6667
1.13542,18.6667
1.14583,24.3333
1.15625,73.3333
1.16667,51.6667
1.17708,31.6667
1.18750,18.0000
1.19792,18.0000
1.20833,20.0000
1.21875,19.0000
1.22917,19.0000
1.23958,19.0000
1.25000,19.0000
1.26042,19.0000
1.27083,19.0000
1.28125,19.0000
1.29167,19.0000
1.30208,19.0000
1.31250,19.0000
1.32292,19.0000
1.33333,19.0000
1.34375,19.0000
1.35417,19.0000
1.36458,19.0000
1.37500,19.0000
1.38542,19.0000
