Distance_(inches),Gray_Value
0.00000,10.667
0.01042,10.667
0.02083,10.667
0.03125,10.000
0.04167,10.000
0.05208,10.000
0.06250,10.000
0.07292,10.000
0.08333,10.000
0.09375,10.000
0.10417,10.000
0.11458,11.333
0.12500,11.333
0.13542,11.333
0.14583,11.333
0.15625,11.333
0.16667,11.333
0.17708,11.333
0.18750,11.333
0.19792,11.333
0.20833,11.333
0.21875,11.333
0.22917,11.333
0.23958,11.333
0.25000,11.333
0.26042,11.333
0.27083,11.333
0.28125,11.333
0.29167,11.333
0.30208,11.667
0.31250,11.667
0.32292,11.667
0.33333,11.667
0.34375,11.667
0.35417,11.667
0.36458,11.667
0.37500,11.667
0.38542,11.333
0.39583,11.333
0.40625,11.333
0.41667,11.333
0.42708,11.333
0.43750,11.333
0.44792,11.333
0.45833,11.333
0.46875,11.333
0.47917,11.333
0.48958,11.333
0.50000,11.333
0.51042,11.333
0.52083,11.333
0.53125,11.333
0.54167,11.333
0.55208,11.333
0.56250,11.333
0.57292,10.871
0.58333,11.000
0.59375,11.000
0.60417,11.000
0.61458,11.000
0.62500,11.000
0.63542,11.000
0.64583,11.000
0.65625,9.667
0.66667,9.667
0.67708,9.667
0.68750,9.667
0.69792,9.667
0.70833,10.667
0.71875,10.667
0.72917,10.667
0.73958,10.667
0.75000,11.333
0.76042,11.333
0.77083,11.333
0.78125,11.333
0.79167,11.333
0.80208,11.333
0.81250,11.333
0.82292,11.333
0.83333,11.333
0.84375,11.667
0.85417,11.667
0.86458,11.667
0.87500,11.667
0.88542,11.667
0.89583,11.667
0.90625,11.667
0.91667,11.667
0.92708,11.333
0.93750,11.333
0.94792,11.333
0.95833,11.333
0.96875,11.333
0.97917,11.333
0.98958,11.333
1.00000,11.333
1.01042,11.333
1.02083,10.000
1.03125,10.000
1.04167,10.000
1.05208,10.000
1.06250,10.000
1.07292,10.000
1.08333,10.000
1.09375,10.000
1.10417,10.000
1.11458,9.000
1.12500,9.000
1.13542,9.000
1.14583,9.000
1.15625,9.000
1.16667,9.000
1.17708,9.000
1.18750,9.000
1.19792,9.667
1.20833,9.667
1.21875,9.667
1.22917,9.667
1.23958,9.667
1.25000,9.667
1.26042,9.667
1.27083,9.667
1.28125,9.667
1.29167,10.000
1.30208,10.000
1.31250,10.000
1.32292,10.000
1.33333,10.000
1.34375,10.000
1.35417,10.000
1.36458,10.000
1.37500,10.000
1.38542,10.333
1.39583,10.333
1.40625,10.667
1.41667,10.667
1.42708,13.667
1.43750,13.667
1.44792,14.000
1.45833,14.000
1.46875,14.340
1.47917,12.667
1.48958,12.665
1.50000,12.000
1.51042,12.000
1.52083,12.000
1.53125,12.000
1.54167,12.000
1.55208,12.000
1.56250,11.333
1.57292,11.333
1.58333,11.333
1.59375,11.333
1.60417,11.333
1.61458,11.333
1.62500,11.333
1.63542,11.333
1.64583,11.333
1.65625,11.667
1.66667,11.667
1.67708,11.667
1.68750,11.667
1.69792,11.667
1.70833,11.667
1.71875,11.667
1.72917,11.667
1.73958,11.000
1.75000,11.000
1.76042,11.000
1.77083,11.000
1.78125,11.000
1.79167,11.000
1.80208,11.000
1.81250,11.000
1.82292,11.000
1.83333,11.000
1.84375,11.000
1.85417,11.000
1.86458,11.000
1.87500,8.000
1.88542,8.000
1.89583,8.000
1.90625,8.000
1.91667,8.000
1.92708,9.000
1.93750,9.000
1.94792,9.000
1.95833,9.000
1.96875,10.000
1.97917,10.000
1.98958,10.000
2.00000,10.000
2.01042,10.000
2.02083,10.000
2.03125,10.000
2.04167,10.000
2.05208,10.000
2.06250,10.000
2.07292,10.000
2.08333,10.000
2.09375,10.000
2.10417,10.000
2.11458,10.000
2.12500,10.000
2.13542,10.000
2.14583,11.000
2.15625,11.000
2.16667,11.000
2.17708,11.000
2.18750,11.000
2.19792,8.667
2.20833,8.667
2.21875,10.333
2.22917,10.333
2.23958,13.000
2.25000,13.000
2.26042,15.333
2.27083,15.333
2.28125,22.205
2.29167,14.859
2.30208,14.863
2.31250,25.227
2.32292,160.822
2.33333,234.284
2.34375,222.194
2.35417,39.054
2.36458,18.907
2.37500,15.537
2.38542,15.551
2.39583,16.565
2.40625,16.579
2.41667,7.667
2.42708,7.667
2.43750,7.667
2.44792,8.000
2.45833,8.000
2.46875,10.333
2.47917,10.333
2.48958,10.333
2.50000,10.333
2.51042,10.333
2.52083,10.333
2.53125,10.333
2.54167,10.333
2.55208,10.333
2.56250,10.333
2.57292,10.333
2.58333,10.333
2.59375,10.333
2.60417,10.333
2.61458,10.333
2.62500,10.333
2.63542,10.333
2.64583,10.000
2.65625,10.000
2.66667,10.000
2.67708,10.000
2.68750,10.000
2.69792,10.000
2.70833,10.000
2.71875,10.000
2.72917,10.000
2.73958,10.000
2.75000,10.000
2.76042,10.000
2.77083,10.000
2.78125,10.000
2.79167,10.000
2.80208,10.000
2.81250,10.000
2.82292,10.000
2.83333,10.000
2.84375,10.000
2.85417,10.000
2.86458,10.000
2.87500,10.000
2.88542,10.000
2.89583,10.000
2.90625,10.000
2.91667,10.000
2.92708,10.000
2.93750,10.000
2.94792,10.000
2.95833,10.000
2.96875,10.000
2.97917,10.000
2.98958,10.000
3.00000,10.000
3.01042,10.000
3.02083,10.000
3.03125,10.000
3.04167,10.000
3.05208,10.000
3.06250,10.000
3.07292,10.000
3.08333,10.000
3.09375,10.000
3.10417,10.000
3.11458,10.000
3.12500,10.000
3.13542,10.000
3.14583,10.000
3.15625,10.000
3.16667,10.000
3.17708,10.000
3.18750,10.667
3.19792,10.667
3.20833,10.667
3.21875,10.667
3.22917,10.667
3.23958,10.667
3.25000,10.667
3.26042,10.667
3.27083,10.667
3.28125,10.000
3.29167,10.000
3.30208,10.000
3.31250,10.000
3.32292,10.000
3.33333,10.000
3.34375,10.000
3.35417,10.000
3.36458,10.000
3.37500,10.000
3.38542,10.000
3.39583,10.000
3.40625,10.000
3.41667,10.000
3.42708,10.000
3.43750,10.000
3.44792,10.000
3.45833,10.000
3.46875,10.000
3.47917,10.000
3.48958,10.000
3.50000,10.000
3.51042,10.000
3.52083,10.000
3.53125,10.000
3.54167,10.000
3.55208,10.000
3.56250,10.000
3.57292,10.000
3.58333,10.000
3.59375,10.000
3.60417,10.000
3.61458,10.000
3.62500,10.000
3.63542,13.000
3.64583,15.000
3.65625,15.000
3.66667,18.333
3.67708,20.333
3.68750,15.026
3.69792,37.459
3.70833,29.994
3.71875,40.694
3.72917,222.464
3.73958,239.509
3.75000,190.116
3.76042,84.387
3.77083,41.950
3.78125,50.165
3.79167,50.142
3.80208,35.521
3.81250,57.095
3.82292,22.667
3.83333,22.667
3.84375,21.000
3.85417,21.000
3.86458,8.333
3.87500,8.333
3.88542,7.667
3.89583,7.667
3.90625,10.000
3.91667,10.000
3.92708,10.000
3.93750,10.000
3.94792,10.000
3.95833,10.000
3.96875,10.000
3.97917,10.000
3.98958,10.000
4.00000,10.000
4.01042,10.000
4.02083,10.000
4.03125,10.000
4.04167,10.000
4.05208,10.000
4.06250,10.000
4.07292,10.000
4.08333,10.000
4.09375,14.333
4.10417,14.333
4.11458,13.333
4.12500,13.333
4.13542,12.000
4.14583,12.000
4.15625,12.333
4.16667,12.333
4.17708,11.667
4.18750,11.667
4.19792,11.667
4.20833,11.667
4.21875,11.667
4.22917,10.667
4.23958,10.667
4.25000,10.667
4.26042,10.667
4.27083,9.333
4.28125,9.333
4.29167,9.333
4.30208,9.333
4.31250,10.333
4.32292,10.333
4.33333,10.333
4.34375,10.333
4.35417,10.333
4.36458,8.333
4.37500,8.333
4.38542,8.333
4.39583,8.333
4.40625,8.333
4.41667,8.333
4.42708,8.333
4.43750,8.333
4.44792,9.000
