Distance_(inches),Gray_Value
0.00000,244.333
0.01042,9.000
0.02083,9.000
0.03125,9.000
0.04167,9.000
0.05208,9.000
0.06250,9.000
0.07292,9.000
0.08333,9.000
0.09375,9.000
0.10417,9.000
0.11458,9.000
0.12500,9.000
0.13542,9.000
0.14583,9.000
0.15625,9.000
0.16667,9.000
0.17708,9.000
0.18750,9.000
0.19792,9.000
0.20833,9.000
0.21875,9.000
0.22917,9.000
0.23958,9.000
0.25000,9.000
0.26042,9.000
0.27083,9.000
0.28125,9.000
0.29167,9.000
0.30208,9.000
0.31250,9.000
0.32292,9.000
0.33333,9.000
0.34375,9.000
0.35417,9.000
0.36458,9.000
0.37500,10.000
0.38542,10.000
0.39583,10.000
0.40625,10.000
0.41667,10.000
0.42708,10.000
0.43750,10.000
0.44792,10.000
0.45833,10.000
0.46875,10.000
0.47917,10.000
0.48958,10.000
0.50000,10.000
0.51042,10.000
0.52083,10.000
0.53125,10.000
0.54167,10.000
0.55208,10.000
0.56250,10.000
0.57292,10.000
0.58333,10.000
0.59375,10.000
0.60417,10.000
0.61458,10.000
0.62500,10.000
0.63542,10.000
0.64583,10.000
0.65625,10.000
0.66667,10.000
0.67708,10.000
0.68750,9.000
0.69792,9.000
0.70833,9.000
0.71875,9.000
0.72917,9.000
0.73958,9.000
0.75000,9.000
0.76042,9.000
0.77083,9.000
0.78125,9.000
0.79167,9.000
0.80208,9.000
0.81250,9.000
0.82292,9.000
0.83333,9.000
0.84375,9.000
0.85417,9.000
0.86458,9.000
0.87500,9.000
0.88542,9.000
0.89583,9.000
0.90625,9.000
0.91667,7.000
0.92708,7.000
0.93750,7.000
0.94792,7.000
0.95833,7.000
0.96875,7.000
0.97917,7.000
0.98958,7.000
1.00000,7.000
1.01042,8.667
1.02083,8.667
1.03125,8.667
1.04167,8.667
1.05208,9.667
1.06250,9.667
1.07292,9.667
1.08333,9.667
1.09375,9.000
1.10417,9.000
1.11458,9.000
1.12500,9.000
1.13542,9.000
1.14583,9.000
1.15625,9.000
1.16667,9.000
1.17708,9.000
1.18750,9.000
1.19792,9.000
1.20833,9.000
1.21875,9.000
1.22917,9.000
1.23958,9.000
1.25000,9.000
1.26042,9.000
1.27083,9.000
1.28125,9.000
1.29167,9.000
1.30208,9.000
1.31250,9.000
1.32292,9.000
1.33333,9.000
1.34375,9.000
1.35417,9.000
1.36458,9.000
1.37500,9.000
1.38542,9.000
1.39583,9.000
1.40625,9.000
1.41667,9.000
1.42708,9.000
1.43750,9.000
1.44792,9.000
1.45833,9.667
1.46875,9.667
1.47917,9.667
1.48958,9.667
1.50000,9.667
1.51042,9.667
1.52083,9.667
1.53125,9.667
1.54167,9.667
1.55208,9.000
1.56250,9.000
1.57292,9.000
1.58333,9.000
1.59375,9.000
1.60417,9.000
1.61458,9.000
1.62500,9.000
1.63542,9.333
1.64583,9.333
1.65625,10.667
1.66667,10.667
1.67708,10.667
1.68750,8.000
1.69792,11.000
1.70833,11.000
1.71875,10.000
1.72917,10.667
1.73958,10.667
1.75000,10.667
1.76042,10.667
1.77083,10.667
1.78125,10.667
1.79167,10.667
1.80208,10.667
1.81250,10.667
1.82292,10.667
1.83333,10.667
1.84375,10.667
1.85417,10.667
1.86458,10.667
1.87500,10.667
1.88542,10.667
1.89583,10.667
1.90625,10.000
1.91667,10.000
1.92708,10.000
1.93750,10.000
1.94792,10.000
1.95833,10.000
1.96875,10.000
1.97917,10.000
1.98958,10.000
2.00000,10.000
2.01042,10.000
2.02083,10.000
2.03125,10.000
2.04167,10.000
2.05208,10.000
2.06250,10.000
2.07292,10.000
2.08333,10.000
2.09375,10.667
2.10417,10.667
2.11458,11.667
2.12500,11.667
2.13542,18.333
2.14583,18.333
2.15625,19.667
2.16667,22.667
2.17708,29.000
2.18750,37.000
2.19792,54.667
2.20833,54.667
2.21875,60.667
2.22917,60.000
2.23958,157.000
2.25000,222.000
2.26042,143.000
2.27083,24.000
2.28125,22.000
2.29167,13.667
2.30208,9.667
2.31250,15.667
2.32292,15.667
2.33333,9.333
2.34375,9.333
2.35417,9.333
2.36458,10.000
2.37500,10.000
2.38542,10.000
2.39583,10.000
2.40625,10.000
2.41667,10.000
2.42708,10.000
2.43750,10.000
2.44792,10.000
2.45833,10.000
2.46875,10.000
2.47917,10.000
2.48958,10.000
2.50000,10.000
2.51042,10.000
2.52083,10.000
2.53125,10.000
2.54167,10.000
2.55208,10.000
2.56250,10.000
2.57292,10.000
2.58333,10.000
2.59375,10.000
2.60417,10.000
2.61458,10.000
2.62500,10.000
2.63542,10.667
2.64583,10.667
2.65625,10.667
2.66667,10.667
2.67708,10.667
2.68750,10.667
2.69792,10.667
2.70833,10.667
2.71875,9.667
2.72917,9.667
2.73958,9.667
2.75000,9.667
2.76042,9.667
2.77083,10.667
2.78125,10.667
2.79167,10.667
2.80208,10.667
2.81250,10.667
2.82292,10.667
2.83333,10.667
2.84375,10.667
2.85417,12.667
2.86458,11.667
2.87500,11.667
2.88542,11.667
2.89583,14.667
2.90625,15.333
2.91667,15.333
